,entryOwnerText_l
170,"[('moro', 100), ('francesconi', 48), ('francescheti', 47)]"
171,"[('de conti', 67), ('crivelari', 56), ('soveri', 55)]"
172,"[('foscari', 100), ('de', 100), ('bastian', 100)]"
173,"[('manin', 100), ('lodovici', 73), ('lodovichi', 70)]"
174,"[('manin', 100), ('lodovici', 73), ('lodovichi', 70)]"
175,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
176,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
177,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
178,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
179,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
180,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
181,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
182,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
183,"[('contarini', 100), ('da mula', 100), ('da', 100)]"
184,"[('manin', 100), ('lodovici', 73), ('lodovichi', 70)]"
185,"[('manin', 100), ('lodovici', 73), ('lodovichi', 70)]"
186,"[('manin', 100), ('connegliano', 44), ('lodovici', 42)]"
187,"[('nani', 86), ('nn', 80), ('nanti', 75)]"
188,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
189,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
190,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
191,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
192,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
193,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
194,"[('foscari', 100), ('francesconi', 59), ('foscarino', 56)]"
195,"[('foscari', 100), ('francesconi', 59), ('foscarino', 56)]"
196,"[('foscari', 100), ('francesconi', 59), ('foscarino', 56)]"
197,"[('foscari', 100), ('francesconi', 59), ('foscarino', 56)]"
198,"[('foscari', 100), ('francesconi', 59), ('foscarino', 56)]"
199,"[('foscari', 100), ('francesconi', 59), ('foscarino', 56)]"
200,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
201,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
202,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
203,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
204,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
205,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
206,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
207,"[('manin', 100), ('lodovici', 73), ('lodovichi', 70)]"
208,"[('fratello', 100), ('buffetti', 100), ('luccatello', 46)]"
209,"[('buffetti', 100), ('alessandri', 69), ('alessandrini', 65)]"
210,"[('contarini', 100), ('contarin', 70), ('contini', 64)]"
211,"[('contarini', 100), ('contarin', 70), ('contini', 64)]"
212,"[('capitolo', 100), ('di', 100), ('san', 100)]"
213,"[('capitolo', 100), ('di', 100), ('san', 100)]"
214,"[('capitolo', 100), ('di', 100), ('san', 100)]"
215,"[('capitolo', 100), ('di', 100), ('san', 100)]"
216,"[('capitolo', 100), ('di', 100), ('san', 100)]"
217,"[('capitolo', 100), ('di', 100), ('san', 100)]"
218,"[('capitolo', 100), ('di', 100), ('san', 100)]"
219,"[('capitolo', 100), ('di', 100), ('san', 100)]"
220,"[('capitolo', 100), ('di', 100), ('san', 100)]"
221,"[('capitolo', 100), ('di', 100), ('san', 100)]"
222,"[('capitolo', 100), ('di', 100), ('san', 100)]"
223,"[('capitolo', 100), ('di', 100), ('san', 100)]"
224,"[('capitolo', 100), ('di', 100), ('san', 100)]"
225,"[('capitolo', 100), ('di', 100), ('san', 100)]"
226,"[('capitolo', 100), ('di', 100), ('san', 100)]"
227,"[('capitolo', 100), ('di', 100), ('san', 100)]"
228,"[('capitolo', 100), ('di', 100), ('san', 100)]"
229,"[('santo', 100), ('di', 100), ('monastero', 100)]"
230,"[('santo', 100), ('di', 100), ('monastero', 100)]"
