,entryTenantText_l
700,"('capolini', 50)"
701,"('girolamo', 58)"
702,"('caresana', 64)"
703,"('giovannino', 58)"
704,"('vido', 100)"
705,"('vido', 100)"
706,"('carosi-cattarini', 61)"
707,"('gerardi', 100)"
708,"('ferro', 100)"
709,"('biasio', 100)"
710,"('alessandri', 80)"
711,"('nani', 100)"
712,"('calvi', 100)"
713,"('galli', 100)"
714,"('bianchi', 100)"
715,"('rizzi', 100)"
716,"('giacomi', 64)"
717,"('bonagiuti', 100)"
718,"('bonagiuti', 100)"
719,"('antoniassi', 67)"
720,"('antonini', 70)"
721,"('amadei', 100)"
722,"('francesconi', 63)"
723,"('pisenti', 100)"
724,"('biasio', 100)"
725,"('nani', 86)"
726,"('alberti', 100)"
727,"('alberti', 100)"
728,"('nani', 86)"
729,"('lin', 100)"
730,"('sincoran', 52)"
731,"('marchi', 100)"
732,"('gozi', 100)"
733,"('nani', 86)"
734,"('marchi', 100)"
735,"('bolani', 100)"
736,"('bolani', 100)"
737,"('grassi', 100)"
738,"('marchi', 100)"
739,"('marchi', 100)"
740,"('piero', 100)"
741,"('marchi', 100)"
742,"('giusto', 100)"
743,"('gavarina', 61)"
744,"('marchi', 100)"
745,"('pellegrini', 100)"
746,"('zuanne', 100)"
747,"('giusto', 100)"
748,"('bassiani', 63)"
749,"('brandolina', 62)"
750,"('alcherio', 70)"
751,"('zuanne', 100)"
752,"('nani', 86)"
753,"('zanchi', 100)"
754,"('franceschini', 100)"
755,"('milani', 100)"
756,"('rospigliosi', 56)"
757,"('bernardo', 100)"
758,"('bertoldo', 64)"
759,"('mattiuzzi', 63)"
760,"('mainardi', 100)"
761,"('piero', 100)"
762,"('francesconi', 64)"
763,"('croce', 100)"
764,"('buffarelli', 62)"
765,"('francesconi', 69)"
766,"('piero', 100)"
767,"('moretti', 100)"
768,"('de pietra', 64)"
769,"('bortoloto', 62)"
770,"('ghesi', 100)"
771,"('pasini', 100)"
772,"('frangipani', 64)"
773,"('rossini', 100)"
774,"('pelegrini', 70)"
775,"('facchi', 100)"
776,"('dolfin', 100)"
777,"('nani', 86)"
778,"('nani', 86)"
779,"('calvi', 100)"
780,"('conti', 100)"
781,"('tagliapietra', 100)"
782,"('sanudo (candiano)', 65)"
783,"('sanudo (candiano)', 65)"
784,"('zuliani', 100)"
785,"('bembo', 100)"
786,"('savoldello', 64)"
787,"('viviani', 100)"
788,"('nani', 86)"
789,"('crivelli', 100)"
790,"('crivella', 100)"
791,"('nani', 86)"
792,"('zuanne', 100)"
793,"('antoniassi', 72)"
794,"('silvestri', 100)"
795,"('girolamo', 61)"
796,"('panciera', 100)"
797,"('giacomi', 67)"
798,"('antonini', 100)"
799,"('francesconi', 62)"
800,"('de zanelli', 82)"
801,"('beltrame', 100)"
802,"('foresti', 100)"
803,"('di', 100)"
804,"('nani', 86)"
805,"('papafava', 100)"
806,"('occioni', 64)"
807,"('nani', 86)"
808,"('bernardo', 100)"
809,"('gerardini', 100)"
810,"('bonifacio', 100)"
811,"('sordina', 100)"
812,"('papafava', 100)"
813,"('milesi', 100)"
814,"('bertolini', 61)"
815,"('formenti', 100)"
816,"('nicola', 100)"
817,"('zanchetta', 70)"
818,"('rizzardi', 100)"
819,"('giuli', 100)"
820,"('antonini', 64)"
821,"('bianchi', 100)"
822,"('bernardini', 100)"
823,"('sordina', 100)"
824,"('catterina', 67)"
825,"('tettamasi', 67)"
826,"('ferrari', 100)"
827,"('rossi', 100)"
828,"('zuanne', 100)"
829,"('michiel', 100)"
830,"('pinaffo', 59)"
831,"('rizzardi', 100)"
832,"('zotti', 100)"
833,"('marguti', 57)"
834,"('foresti', 100)"
835,"('venier', 100)"
836,"('moro', 100)"
837,"('antoneti', 67)"
838,"('antoniassi', 62)"
839,"('ferrari', 100)"
840,"('carlo', 100)"
841,"('colombina', 67)"
842,"('bazolani', 64)"
843,"('antonelli', 62)"
844,"('graziato', 100)"
845,"('cresiafida', 56)"
846,"('martinengo', 67)"
847,"('orologio', 54)"
848,"('carlo', 100)"
849,"('paolini', 100)"
850,"('pisenti', 100)"
851,"('ferrari', 100)"
852,"('zanchi', 100)"
853,"('martin', 100)"
854,"('zuanne', 100)"
855,"('mainardi', 100)"
856,"('dal', 100)"
857,"('buonvicino', 67)"
858,"('cassina', 58)"
859,"('zorzi', 100)"
