Names,Names
CORNIANI,4
OTTOBONI,4
GIULI,3
GRAPIGLIA,3
GIULIANI,3
FOSCATI,3
GIANOSOVICH,3
GIANOLA,3
GALLIZIOLI,3
FORMAGIN,3
GIACOMELLI,3
GASPARI,3
GAVAZZA,3
GIURATI,3
PASINI,3
GREGOLIN,3
RUSTEGHELLO,3
SESIA,3
SERUSA,3
SEMITANA,3
SELICH,3
SCHIA,3
SCARPA,3
SCARIZZA,3
SCARDOVA,3
SCAGIO,3
SASSO,3
ROTA,3
SIOLA,3
ROSELLI,3
ROBERTI,3
RIZZOTI,3
RISISEGARI,3
RIGONI,3
RIGHI,3
RIGAMONTI,3
REALE,3
RAVAGNI,3
RAME,3
SIMONETI,3
SONICA,3
PUGNALIN,3
VANAXEL,3
ZUSTINIANI,3
ZINI,3
ZARA,3
ZANIBON,3
VLASTO,3
VISILICH,3
VINANSERVI,3
VIDIMAN,3
VENTURA,3
VENDRAME,3
VALENTINI,3
SPARTIN,3
VACILLI,3
TROSOLINI,3
TROMBETA,3
TROIS,3
TRENTINI,3
TOGNELLA,3
TOGNANA,3
TOBIA,3
TAMAGNO,3
SQUERAROLI,3
QUADRI,3
PUGNALETTO,3
GUIZETTI,3
MASCHI,3
MORETTA,3
MONDINI,3
MOAZZO,3
MISTURA,3
MISSANA,3
MINGOTO,3
MILANI,3
MEMMO,3
MAURO,3
MASSITELLI,3
MARCHESATI,3
MOROSSI,3
MARASSI,3
MANZINI,3
MANETTA,3
MALOSSO,3
MALANOTTI,3
LOVISELLO,3
LOSSI,3
LE,3
LANTERNA,3
ISTA,3
MORON,3
MOSCA,3
PREMUDA,3
PARROCCO,3
PLATEO,3
PIZZAMANO,3
PISENTI,3
PINTI,3
PIGOZZO,3
PIATI,3
PETROVICH,3
PESTINA,3
PEROTIN,3
PELICIOLI,3
PAPADOPOLI,3
MOZZI,3
ORLANDI,3
ORATORIO,3
OLMO,3
OLIVO,3
OLIVIERI,3
NESADINI,3
NASOLIN,3
NARDI,3
MUTONI,3
MUSOLO,3
FLAMINI,3
ABIS,3
BORDES,3
BRAGOLINA,3
BOZZI,3
BOSCOVICH,3
BORELLA,3
BONI,3
BONAGLI,3
BOARI,3
BISSON,3
BISCHUCHIA,3
BIANCARDI,3
BERTELLI,3
BERTANI,3
BERENGO,3
BENZONI,3
BENEFIZIO,3
BENEDETTI,3
BENECO,3
BENDUSSI,3
BATTAGIA,3
FACCHI,3
FACHI,3
BATAGLIA,3
BASTESINI,3
FACOLI,3
BASEGIO,3
FALLIER,3
BARENA,3
FARELLI,3
BRADAMANTE,3
BRASCHI,3
BARBARAN,3
BRINI,3
CORNELIA,3
CONOMO,3
CRISTOFOLI,3
CRIVELARI,3
CRIVELLI,3
COMPAGNIA,3
COMINOTI,3
COMBI,3
COMAROLO,3
COLOTTI,3
CLEMENTI,3
CHIUCUSSI,3
DADDA,3
CHIODO,3
DADIE,3
CAVALIERI,3
CARRABA,3
CANTU,3
CANELLA,3
CALZON,3
CALVO,3
CALIARI,3
CALDERARI,3
CABIANCA,3
BUSI,3
BUSCA,3
BRUNATO,3
FASCINI,3
COSSETTI,3
ANTELMI,3
APPOSTOLI,3
FIDATI,3
AZZO,3
BALEVIN,3
BAGOZZI,3
ALIPRANDI,3
ANGELINI,3
ARAGONI,3
BAGOTTO,3
BARACHI,3
ACENTI,3
FERACINA,3
PASSAMANER,2
CANNONICI,2
CANTONI,2
PARISINI,2
CANOFIA,2
PARUTA,2
PASQUALI,2
CAMINAROVIK,2
CAMOSSONI,2
PAOLUCCI,2
CANDONI,2
PASTA,2
ANDREOLETI,2
TRENTO,2
CANZIANI,2
PADER,2
NOVAZZA,2
CARLONI,2
CARESANA,2
CAREGIANI,2
ONGARETO,2
CARDANI,2
ORSOLINI,2
CAPITANIO,2
PANZANI,2
PAGGIARO,2
PAGINI,2
PALAMON,2
CAPELLAN,2
PANEINFORNO,2
ANGELONI,2
